H GaussMeter (Oe),Mx (emu),,,
5376.364197,8.36E-01,8.47515E-05,8.47515E-05,
5175.77771,8.19E-01,8.4843E-05,8.4843E-05,
4975.407654,8.02E-01,8.78568E-05,8.78568E-05,
4770.52887,7.84E-01,8.56298E-05,8.56298E-05,
4571.999878,7.67E-01,8.60858E-05,8.60858E-05,
4362.90625,7.49E-01,8.88664E-05,8.88664E-05,
4160.354919,7.31E-01,8.61882E-05,8.61882E-05,
3951.509613,7.13E-01,9.07903E-05,9.07903E-05,
3742.236175,6.94E-01,8.82742E-05,8.82742E-05,
3526.997833,6.75E-01,8.99253E-05,8.99253E-05,
3315.711365,6.56E-01,9.23135E-05,9.23135E-05,
3099.058411,6.36E-01,9.08684E-05,9.08684E-05,
2878.959808,6.16E-01,9.29122E-05,9.29122E-05,
2663.70285,5.96E-01,9.49546E-05,9.49546E-05,
2611.046112,5.91E-01,9.30822E-05,9.30822E-05,
2557.33017,5.86E-01,9.15943E-05,9.15943E-05,
2502.741638,5.81E-01,9.37382E-05,9.37382E-05,
2449.401581,5.76E-01,9.91605E-05,9.91605E-05,
2398.978302,5.71E-01,8.65506E-05,8.65506E-05,
2341.208618,5.66E-01,9.958E-05,9.958E-05,
2290.997742,5.61E-01,8.91693E-05,8.91693E-05,
2234.924622,5.56E-01,0.000118253,0.000118253,
2184.185761,5.50E-01,8.83467E-05,8.83467E-05,
2127.590576,5.45E-01,9.05161E-05,9.05161E-05,
2072.351776,5.40E-01,9.23262E-05,9.23262E-05,
2018.195984,5.35E-01,8.4724E-05,8.4724E-05,
1959.180832,5.30E-01,9.06968E-05,9.06968E-05,
1904.052124,5.25E-01,0.000122568,0.000122568,
1855.099808,5.19E-01,8.06507E-05,8.06507E-05,
1793.10408,5.14E-01,0.000108862,0.000108862,
1737.988419,5.08E-01,9.47493E-05,9.47493E-05,
1685.217575,5.03E-01,8.36532E-05,8.36532E-05,
1625.447006,4.98E-01,0.000120091,0.000120091,
1575.484894,4.92E-01,8.8484E-05,8.8484E-05,
1552.881927,4.90E-01,9.19291E-05,9.19291E-05,
