H GaussMeter (Oe),Mx (emu),,,
2342.030853,-1.49E-02,0.000166491,0.000166491,
2558.259138,2.11E-02,0.000182331,0.000182331,
2769.414001,5.96E-02,0.000201741,0.000201741,
2974.627838,1.01E-01,0.000202781,0.000202781,
3191.61084,1.45E-01,0.000225966,0.000225966,
3395.181305,1.91E-01,0.000236374,0.000236374,
3602.479889,2.40E-01,0.000260344,0.000260344,
3802.215454,2.92E-01,0.000256198,0.000256198,
4005.183136,3.44E-01,0.000267359,0.000267359,
4207.158936,3.98E-01,0.000264965,0.000264965,
4410.959229,4.52E-01,0.000255919,0.000255919,
4618.055908,5.05E-01,0.000254142,0.000254142,
4822.665711,5.57E-01,0.000247232,0.000247232,
5020.859985,6.06E-01,0.000234417,0.000234417,
5221.357727,6.53E-01,0.00021384,0.00021384,
5427.118775,6.97E-01,0.000196172,0.000196172,
5641.216369,7.39E-01,0.000186795,0.000186795,
5839.294251,7.76E-01,0.000140937,0.000140937,
6868.12555,9.21E-01,9.7376E-05,9.7376E-05,
7884.802734,1.02E+00,8.07462E-05,8.07462E-05,
8875.561035,1.10E+00,8.28947E-05,8.28947E-05,
9840.641113,1.18E+00,6.17776E-05,6.17776E-05,
10811.86646,1.24E+00,7.2023E-05,7.2023E-05,
11783.77771,1.31E+00,6.42022E-05,6.42022E-05,
12718.3252,1.37E+00,6.27149E-05,6.27149E-05,
13675.0354,1.43E+00,5.17175E-05,5.17175E-05,
14641.82544,1.48E+00,5.35063E-05,5.35063E-05,
15576.29407,1.53E+00,5.08002E-05,5.08002E-05,
16560.54248,1.58E+00,4.06237E-05,4.06237E-05,
17545.18823,1.62E+00,3.15384E-05,3.15384E-05,
18496.41064,1.65E+00,1.1385E-05,1.1385E-05,
19374.75879,1.66E+00,8.56785E-05,8.56785E-05,
