H (Oe),Mx (emu),,,
6.148229,0.00011439,YANLI?,YANLI?,0.000000000610863
0,0.00013687,0.000001834399097,0.000001834399097,
-18.594645,0.00010276,0.000000000000000,1000.000000000000000,
-18.594645,0.00010485,0.000000455085966,0.000000455085966,
3.598964,0.00011495,0.000002217398156,0.000002217398156,
30.441234,0.00017447,-0.000002464124088,1000.000000000000000,
48.885922,0.00012902,0.000000213777651,0.000000213777651,
80.226897,0.00013572,-0.000001136886514,1000.000000000000000,
89.524219,0.00012515,0.000000472815860,0.000000472815860,
108.643713,0.00013419,0.000000272762610,0.000000272762610,
140.209623,0.0001428,-0.000000349746085,1000.000000000000000,
168.401504,0.00013294,-0.000001213464073,1000.000000000000000,
182.122553,0.00011629,0.000000980884396,0.000000980884396,
204.541097,0.00013828,-0.000001345716137,1000.000000000000000,
226.209857,0.00010912,0.000001513590324,0.000001513590324,
245.779221,0.00013874,-0.000000138092847,1000.000000000000000,
262.724342,0.0001364,0.000000126997346,0.000000126997346,
283.118469,0.00013899,-0.000000257894153,1000.000000000000000,
298.938913,0.00013491,0.000000133371732,0.000000133371732,
328.405427,0.00013884,0.000000115233175,0.000000115233175,
356.52233,0.00014208,-0.000000205495499,1000.000000000000000,
373.992299,0.00013849,-0.000000019811185,1000.000000000000000,
402.259159,0.00013793,0.000000177828975,0.000000177828975,
406.307993,0.00013865,-0.000000049396937,1000.000000000000000,
434.649831,0.00013725,0.000000065135029,0.000000065135029,
460.442404,0.00013893,0.000000194843476,0.000000194843476,
478.662157,0.00014248,-0.000000070315028,1000.000000000000000,
500.705809,0.00014093,0.000000000000000,1000.000000000000000,
500.705809,0.00014588,-0.000000045998223,1000.000000000000000,
543.96835,0.00014389,0.000000130714926,0.000000130714926,
562.78793,0.00014635,-0.000000112258829,1000.000000000000000,
582.207338,0.00014417,0.000000050129375,0.000000050129375,
603.951076,0.00014526,0.000000000000000,1000.000000000000000,
623.520441,0.00014526,0.000000313815840,0.000000313815840,
638.816036,0.00015006,-0.000000027458886,1000.000000000000000,
659.210163,0.0001495,-0.000000020921055,1000.000000000000000,
685.977455,0.00014894,0.000000061204835,0.000000061204835,
707.87115,0.00015028,-0.000000060572994,1000.000000000000000,
725.865968,0.00014919,0.000000068167772,0.000000068167772,
742.73611,0.00015034,0.000000033012805,0.000000033012805,
765.454567,0.00015109,-0.000000003583121,1000.000000000000000,
790.572334,0.000151,-0.000000159466198,1000.000000000000000,
807.817368,0.00014825,0.000000145624967,0.000000145624967,
829.036257,0.00015134,0.000000205675812,0.000000205675812,
849.505363,0.00015555,-0.000000381162380,1000.000000000000000,
863.75126,0.00015012,0.000000023154814,0.000000023154814,
874.548151,0.00015037,-0.000000020351538,1000.000000000000000,
925.158576,0.00014934,0.000000852532977,0.000000852532977,
932.806374,0.00015586,-0.000000086203681,1000.000000000000000,
951.251062,0.00015427,0.000000231067896,0.000000231067896,
969.470815,0.00015848,-0.000000006668586,1000.000000000000000,
993.463906,0.00015832,0.000000160164496,0.000000160164496,
1061.019452,0.00016914,-0.000000354041321,1000.000000000000000,
1089.886139,0.00015892,-0.000000099613051,1000.000000000000000,
1150.018822,0.00015293,0.000000115556734,0.000000115556734,
1191.55686,0.00015773,0.000000158539437,0.000000158539437,
1249.96504,0.00016699,-0.000000044070659,1000.000000000000000,
1293.077624,0.00016509,0.000000055441181,0.000000055441181,
1395.348173,0.00017076,-0.000006173204103,1000.000000000000000,
1395.873022,0.00016752,-0.000000004277227,1000.000000000000000,
1447.30821,0.0001673,0.000000038472615,0.000000038472615,
1486.296982,0.0001688,-0.000000007790838,1000.000000000000000,
1594.115932,0.00016796,0.000010212461108,0.000010212461108,
1594.640781,0.00017332,0.000000001171640,0.000000001171640,
1645.851034,0.00017338,-0.000000053271673,1000.000000000000000,
1723.7536,0.00016923,0.000000150768040,0.000000150768040,
1744.447641,0.00017235,0.000000064603519,0.000000064603519,
1842.89429,0.00017871,0.000001860184334,0.000001860184334,
1844.31888,0.00018136,-0.000000031099677,1000.000000000000000,
1942.390638,0.00017831,-0.000000715817922,1000.000000000000000,
1948.313932,0.00017407,0.000000090881621,0.000000090881621,
2092.347454,0.00018716,-0.000000048310205,1000.000000000000000,
2193.568304,0.00018227,0.000000030892338,0.000000030892338,
