H GaussMeter (Oe),Mx (emu),,
-141.883147,3.17E-01,,
-163.607491,3.14E-01,,
-189.705416,3.12E-01,,
-209.14871,3.09E-01,,
-234.548264,3.07E-01,,
-254.909342,3.04E-01,,
-281.406151,3.02E-01,,
-304.667965,2.99E-01,,
-324.482399,2.97E-01,,
-351.425133,2.94E-01,,
-372.605896,2.92E-01,,
-398.698532,2.89E-01,,
-421.062016,2.86E-01,,
-440.531921,2.84E-01,,
-466.477204,2.81E-01,,
-489.553223,2.79E-01,,
-512.893273,2.76E-01,,
-531.786781,2.74E-01,,
-554.823006,2.71E-01,,
-580.184082,2.69E-01,,
-605.491409,2.66E-01,,
-623.268272,2.64E-01,,
-648.48613,2.61E-01,,
-673.751411,2.59E-01,,
-696.165825,2.56E-01,,
-715.283224,2.54E-01,,
-737.238945,2.51E-01,,
-759.249901,2.49E-01,,
-783.144501,2.46E-01,,
-842.067131,2.40E-01,,
-895.330223,2.33E-01,,
-954.219414,2.27E-01,,
-1010.935707,2.21E-01,,
-1061.547165,2.14E-01,,
-1120.495758,2.08E-01,,
-1177.61152,2.02E-01,,
-1229.529968,1.96E-01,,
-1284.522049,1.89E-01,,
-1341.674438,1.82E-01,,
-1395.063629,1.76E-01,,
-1449.547409,1.70E-01,,
-1506.477951,1.63E-01,,
-1559.737976,1.57E-01,,
-1615.294067,1.50E-01,,
-1667.153031,1.43E-01,,
-1723.453018,1.37E-01,,
-1777.235108,1.30E-01,,
-1834.624939,1.23E-01,,
-1889.05423,1.16E-01,,
-2107.565033,8.66E-02,,
-2327.225372,5.49E-02,,
-2547.430756,2.10E-02,,
-2763.849853,-1.49E-02,,
-2973.010956,-5.36E-02,,
-3178.833466,-9.53E-02,,
-3393.9263,-1.40E-01,,
-3601.273102,-1.87E-01,,
-3803.954712,-2.37E-01,,
-4010.073151,-2.89E-01,,
-4213.192932,-3.42E-01,,
-4415.599732,-3.97E-01,,
-4622.195007,-4.52E-01,,
-4828.381165,-5.06E-01,,
-5033.515015,-5.58E-01,,
-5239.050415,-6.08E-01,,
-5437.679627,-6.56E-01,,
-5648.708923,-7.00E-01,,
-5855.161621,-7.43E-01,,
-6059.29834,-7.80E-01,,
-7097.303589,-9.26E-01,,
-8124.965881,-1.03E+00,,
-9130.583984,-1.11E+00,,
-10115.29749,-1.18E+00,,
-11095.75781,-1.25E+00,,
-12080.12402,-1.31E+00,,
-13045.08435,-1.37E+00,,
-14007.89612,-1.43E+00,,
-14996.42029,-1.48E+00,,
-15961.35083,-1.53E+00,,
-16964.62598,-1.56E+00,,
-17947.65234,-1.62E+00,,
-18953.09058,-1.64E+00,,
-19848.54395,-1.66E+00,,
-19855.19702,-1.66E+00,,
-19098.98486,-1.65E+00,,
-18346.16235,-1.63E+00,,
-17438.14453,-1.60E+00,,
-16572.18945,-1.56E+00,,
-15721.15698,-1.52E+00,,
-14815.07556,-1.48E+00,,
-13921.66675,-1.43E+00,,
-12996.97937,-1.37E+00,,
-12038.75647,-1.31E+00,,
-11071.02722,-1.25E+00,,
-10097.271,-1.18E+00,,
-9094.642456,-1.10E+00,,
-8077.923767,-1.03E+00,,
-7053.266846,-9.49E-01,,
-6852.912353,-9.33E-01,,
-6641.668274,-9.16E-01,,
-6437.97644,-9.00E-01,,
-6236.448914,-8.83E-01,,
-6032.323059,-8.67E-01,,
-5825.588074,-8.49E-01,,
-5620.200684,-8.33E-01,,
-5415.66333,-8.15E-01,,
-5213.042602,-7.98E-01,,
-5008.249328,-7.80E-01,,
-4803.455994,-7.63E-01,,
-4598.964783,-7.46E-01,,
-4390.052612,-7.29E-01,,
-4178.53894,-7.11E-01,,
-3966.898712,-6.93E-01,,
-3760.80957,-6.74E-01,,
-3543.078186,-6.55E-01,,
-3323.485504,-6.35E-01,,
-3100.37616,-6.15E-01,,
-2886.060364,-5.95E-01,,
-2832.581085,-5.90E-01,,
-2778.476379,-5.86E-01,,
-2725.4021,-5.81E-01,,
-2672.804138,-5.77E-01,,
-2617.791779,-5.71E-01,,
-2560.458557,-5.66E-01,,
-2510.22818,-5.61E-01,,
-2452.836426,-5.55E-01,,
-2398.039856,-5.50E-01,,
-2341.935455,-5.45E-01,,
-2285.532868,-5.40E-01,,
-2230.714234,-5.34E-01,,
-2177.881134,-5.28E-01,,
-2122.67627,-5.25E-01,,
-2067.647888,-5.20E-01,,
-2009.475097,-5.15E-01,,
-1954.254791,-5.09E-01,,
-1901.832825,-5.03E-01,,
-1840.340439,-4.97E-01,,
-1786.096115,-4.92E-01,,
-1765.732696,-4.90E-01,,
-1744.435486,-4.88E-01,,
-1721.812821,-4.86E-01,,
-1699.540772,-4.83E-01,,
-1676.325714,-4.81E-01,,
-1654.452637,-4.79E-01,,
-1630.161789,-4.77E-01,,
-1601.681579,-4.74E-01,,
-1580.279694,-4.72E-01,,
-1562.913696,-4.70E-01,,
-1538.676544,-4.67E-01,,
-1515.168762,-4.65E-01,,
-1491.814667,-4.63E-01,,
-1466.680145,-4.60E-01,,
-1446.080673,-4.58E-01,,
-1424.318634,-4.56E-01,,
-1397.931702,-4.53E-01,,
-1374.938355,-4.49E-01,,
-1354.861038,-4.43E-01,,
-1327.325439,-4.41E-01,,
-1307.597031,-4.39E-01,,
-1286.538605,-4.36E-01,,
-1262.149231,-4.34E-01,,
-1233.120529,-4.32E-01,,
-1210.356598,-4.30E-01,,
-1191.869705,-4.28E-01,,
-1167.012802,-4.26E-01,,
-1143.74054,-4.23E-01,,
-1120.478561,-4.21E-01,,
-1096.081238,-4.18E-01,,
-1069.606293,-4.16E-01,,
-1048.250366,-4.14E-01,,
-1025.055542,-4.11E-01,,
-1000.731407,-4.09E-01,,
-977.023613,-4.06E-01,,
-950.327347,-4.04E-01,,
-926.658814,-4.01E-01,,
-906.798157,-3.99E-01,,
-884.575272,-3.97E-01,,
-860.3134,-3.95E-01,,
-838.451286,-3.92E-01,,
-822.020843,-3.90E-01,,
-799.086311,-3.88E-01,,
-776.404037,-3.86E-01,,
-763.573898,-3.84E-01,,
-735.487472,-3.82E-01,,
-706.426163,-3.79E-01,,
-682.56823,-3.76E-01,,
-653.664246,-3.73E-01,,
-615.095711,-3.69E-01,,
-567.756881,-3.64E-01,,
-531.772339,-3.60E-01,,
-503.114876,-3.57E-01,,
-476.026268,-3.54E-01,,
-451.433914,-3.52E-01,,
-428.437927,-3.50E-01,,
-404.431797,-3.47E-01,,
-381.006542,-3.45E-01,,
-362.244354,-3.43E-01,,
-342.190128,-3.41E-01,,
-328.068821,-3.39E-01,,
-302.965073,-3.36E-01,,
-277.82502,-3.34E-01,,
-256.134718,-3.31E-01,,
-231.839468,-3.29E-01,,
-211.749664,-3.26E-01,,
-185.259512,-3.24E-01,,
-161.498373,-3.21E-01,,
-139.050896,-3.19E-01,,
-110.609486,-3.16E-01,,
-91.920602,-3.14E-01,,
-65.187232,-3.11E-01,,
-44.362748,-3.08E-01,,
-20.379314,-3.06E-01,,
4.140932,-3.03E-01,,
26.469999,-3.01E-01,,
52.065945,-2.98E-01,,
76.273265,-2.96E-01,,
95.723258,-2.93E-01,,
121.841031,-2.91E-01,,
144.01432,-2.88E-01,,
169.352245,-2.85E-01,,
189.980154,-2.83E-01,,
211.675555,-2.80E-01,,
230.456491,-2.78E-01,,
258.186443,-2.75E-01,,
280.190815,-2.73E-01,,
302.794189,-2.70E-01,,
324.515766,-2.68E-01,,
347.417725,-2.65E-01,,
376.137505,-2.63E-01,,
399.47694,-2.60E-01,,
418.384979,-2.57E-01,,
445.785589,-2.55E-01,,
468.712128,-2.52E-01,,
492.156429,-2.50E-01,,
514.551895,-2.48E-01,,
531.786445,-2.45E-01,,
559.948982,-2.43E-01,,
583.706825,-2.40E-01,,
637.467926,-2.34E-01,,
692.301079,-2.27E-01,,
748.253097,-2.21E-01,,
806.208333,-2.15E-01,,
863.586349,-2.08E-01,,
919.683426,-2.02E-01,,
971.973335,-1.96E-01,,
1026.101792,-1.89E-01,,
1085.194367,-1.83E-01,,
1137.044296,-1.77E-01,,
1196.321625,-1.69E-01,,
1250.587174,-1.63E-01,,
1300.909897,-1.56E-01,,
1355.792277,-1.50E-01,,
1409.165161,-1.43E-01,,
1464.804428,-1.37E-01,,
1518.448929,-1.30E-01,,
1578.167984,-1.23E-01,,
1628.010681,-1.16E-01,,
1683.928879,-1.09E-01,,
1901.432373,-7.99E-02,,
2123.4581,-4.84E-02,,
2342.030853,-1.49E-02,,
2558.259138,2.11E-02,,
2769.414001,5.96E-02,,
2974.627838,1.01E-01,,
3191.61084,1.45E-01,,
3395.181305,1.91E-01,,
3602.479889,2.40E-01,,
3802.215454,2.92E-01,,
4005.183136,3.44E-01,,
4207.158936,3.98E-01,,
4410.959229,4.52E-01,,
4618.055908,5.05E-01,,
4822.665711,5.57E-01,,
5020.859985,6.06E-01,,
5221.357727,6.53E-01,,
5427.118775,6.97E-01,,
5641.216369,7.39E-01,,
5839.294251,7.76E-01,,
6868.12555,9.21E-01,,
7884.802734,1.02E+00,,
8875.561035,1.10E+00,,
9840.641113,1.18E+00,,
10811.86646,1.24E+00,,
11783.77771,1.31E+00,,
12718.3252,1.37E+00,,
13675.0354,1.43E+00,,
14641.82544,1.48E+00,,
15576.29407,1.53E+00,,
16560.54248,1.58E+00,,
17545.18823,1.62E+00,,
18496.41064,1.65E+00,,
19374.75879,1.66E+00,,
