H,GaussMeter,(Oe),Mx,(emu)
-2199.723328,-2.44E-01,,,
-1976.993393,-2.31E-01,,,
-1755.410736,-2.16E-01,,,
-1642.960647,-2.07E-01,,,
-1530.800659,-1.99E-01,,,
-1420.915543,-1.91E-01,,,
-1305.152374,-1.82E-01,,,
-1189.479904,-1.74E-01,,,
-1069.888382,-1.65E-01,,,
-954.249741,-1.57E-01,,,
-837.730721,-1.48E-01,,,
-732.826386,-1.41E-01,,,
-618.792656,-1.34E-01,,,
-437.27354,-1.23E-01,,,
-299.756902,-1.16E-01,,,
-206.318224,-1.12E-01,,,
-95.181859,-1.08E-01,,,
21.580839,-1.03E-01,,,
138.41917,-9.93E-02,,,
256.144955,-9.56E-02,,,
369.942146,-9.20E-02,,,
483.515064,-8.88E-02,,,
595.884964,-8.58E-02,,,
818.46479,-7.99E-02,,,
1045.24469,-7.49E-02,,,
1262.301148,-7.04E-02,,,
1481.730713,-6.61E-02,,,
1694.920822,-6.22E-02,,,
2018.564209,-5.68E-02,,,
2346.672211,-5.16E-02,,,
2664.545319,-4.68E-02,,,
2978.758118,-4.21E-02,,,
3290.514008,-3.78E-02,,,
3592.750946,-3.37E-02,,,
3898.549866,-2.96E-02,,,
4198.11914,-2.55E-02,,,
4502.734619,-2.15E-02,,,
4804.011292,-1.74E-02,,,
5208.829407,-1.21E-02,,,
5619.493286,-6.34E-03,,,
6025.431824,-7.67E-04,,,
6431.925293,5.06E-03,,,
6831.942871,1.15E-02,,,
7227.725342,1.84E-02,,,
7626.89386,2.65E-02,,,
8022.813965,3.49E-02,,,
8417.525513,4.41E-02,,,
8808.689819,5.40E-02,,,
9289.218017,7.00E-02,,,
9771.608276,8.84E-02,,,
10244.101196,1.06E-01,,,
10722.953247,1.26E-01,,,
11198.101318,1.48E-01,,,
11688.695801,1.67E-01,,,
12159.031006,1.84E-01,,,
12622.069946,1.99E-01,,,
13093.28479,2.14E-01,,,
13557.16687,2.26E-01,,,
14522.720459,2.48E-01,,,
15453.623535,2.66E-01,,,
16404.474365,2.79E-01,,,
17404.934082,2.90E-01,,,
18315.311768,2.96E-01,,,
